Date,Time,Site,Unit ID,User ID,F,DO %,DO mg/L,C-uS/cm,SAL-PSU,pH,ORP mV,Chl RFU,PE RFU
10/29/24,05:42:07PM,R2,,,73.9,109.5,7.76,47517,32.13,7.85,217.5,-5.65,-5.47
10/30/24,01:35:18PM,R1,,,75.2,151.8,10.62,48286,32.18,7.93,174.8,-5.15,-5.48
10/30/24,01:36:27PM,R2,,,73.7,119.4,8.47,47713,32.36,7.86,178.1,-3.45,-5.47
10/30/24,02:35:29PM,MiniOcean,,,76.7,462,31.85,49472,32.49,8.06,235.6,-2.43,-5.38
10/31/24,01:19:09PM,R1,,,73.2,101.8,7.32,45588,30.96,7.69,219.3,-6.22,-5.49
10/31/24,01:21:24PM,R2,,,74.6,125.8,8.83,48781,32.8,7.93,200.2,-4.03,-5.42
10/31/24,02:10:43PM,QTank,,,63.5,-84,-6.68,40379,30.73,7.7,179.5,-5.85,-5.49
10/31/24,02:21:00PM,MiniOcean,,,76.1,200.4,17.04,47931,31.56,8,152.7,-2.26,-5.38
11/1/24,10:30:03AM,R1,,,75.5,130.5,9.13,47813,31.7,7.89,145.6,-5.03,-5.45
11/1/24,10:30:34AM,R2,,,74.9,119.7,8.38,48918,32.79,7.86,149.7,-5.74,-5.47
11/1/24,01:53:29PM,MiniOcean,,,76.5,188.1,13.06,48760,32.01,7.94,136.8,-4.31,-5.41
11/4/24,02:32:01PM,MiniOcean,,,75.5,304.1,21.23,48378,32.13,8.06,237.4,-2.18,-5.39
11/5/24,03:09:49PM,MiniOcean,,,76.4,383.7,26.53,49163,32.36,8.08,193.4,-2.14,-5.36
11/5/24,03:22:35PM,R1,,,75.7,153.7,10.62,50581,33.72,7.99,194.5,-6.13,-5.47
11/5/24,03:24:13PM,R2,,,75.5,141.7,9.8,50669,33.85,7.94,196.7,-4.95,-5.48
11/6/24,12:06:01PM,R2,,,75.8,140.3,9.67,51019,34.01,7.9,164.8,-5.02,-5.47
11/6/24,12:06:09PM,R1,,,75.8,141,9.72,51013,34,7.9,165.5,-6.12,-5.48
11/6/24,12:07:45PM,R2,,,75.3,126.8,8.8,50078,33.47,7.89,172,-0.07,-5.44
11/6/24,02:18:07PM,MiniOcean,,,75.6,297,20.73,48359,32.1,8.12,145.7,-1.67,-5.39
11/7/24,01:37:09PM,R1,,,74.7,147.3,10.3,49438,33.24,7.52,251.5,-5.2,-5.49
11/7/24,01:39:40PM,R2,,,75.1,141.2,9.79,50613,33.96,7.91,223.5,-3.36,-5.43
11/7/24,02:21:48PM,MiniOcean,,,74.6,168.3,14.28,47744,32.04,7.83,195.1,-2.4,-5.35
11/8/24,10:01:40AM,R1,,,75.3,125.1,8.67,50673,33.95,7.85,147.7,-5.77,-5.47
11/8/24,10:02:26AM,R2,,,75.3,129.4,8.99,49997,33.41,7.86,154.1,-4.5,-5.46
11/8/24,02:15:00PM,MiniOcean,,,75.7,418.4,29.14,48560,32.19,8.13,122.8,-1.79,-5.41
11/11/24,02:28:21PM,MiniOcean,,,76.1,-14018.9,-978.32,47457,31.21,8.1,133,-0.01,-0.39
11/12/24,12:24:02PM,R1,,,75.5,-6007.8,-412.86,52063,34.88,7.93,191.5,-0.08,-0.61
11/12/24,12:29:08PM,R2,,,75.3,-5110.3,-353.25,51165,34.33,7.96,193.1,-0.08,-0.58
11/12/24,01:49:31PM,MiniOcean,,,76.5,-19995.7,-1382.35,48988,32.18,8.17,135.8,-0.04,-0.41
11/13/24,02:45:22PM,MiniOcean,,,76.4,-13545.1,-938.4,48750,32.06,8.1,149.7,-0.03,-0.5
11/13/24,03:00:59PM,R2,,,75.5,-5091.2,-351.57,50933,34.04,7.95,146.4,-0.09,-0.61
11/13/24,03:04:05PM,R1,,,75.6,-6232.3,-429.01,51534,34.45,7.98,155.1,-0.09,-0.58
11/14/24,01:43:18PM,R1,,,74.7,-5780.8,-402.27,50536,34.09,7.88,193.3,-0.1,-0.62
11/14/24,01:44:59PM,R2,,,75.1,-5641.1,-391.21,50600,33.95,7.92,185,0.01,-0.38
11/14/24,02:26:57PM,MiniOcean,,,,,,,,,,,
11/14/24,02:28:41PM,MiniOcean,,,76,-17657,-1227.2,48576,32.07,8.17,142.1,0.05,-0.27
11/15/24,10:54:09AM,R1,,,75.4,-5444.7,-376.15,50997,34.13,7.84,114.1,-0.09,-0.58
11/15/24,10:55:03AM,R2,,,75.5,-5206.5,-360.19,50635,33.84,7.88,112.1,-0.09,-0.62
11/15/24,03:00:24PM,MiniOcean,,,76.3,59044.7,4080.4,49447,32.61,8.14,185,-0.04,-0.47
11/18/24,09:53:36AM,R1,,,75.8,16491.9,1129.4,52513,35.13,7.82,159.2,-0.08,-0.59
11/18/24,09:55:05AM,R2,,,75.4,15465.4,1063.65,52123,35,7.85,164.4,-0.08,-0.62
11/18/24,03:07:53PM,MiniOcean,,,75.6,62693.2,4360.27,49156,32.67,8.12,135,0.04,-0.28
11/19/24,02:25:58PM,MiniOcean,,,76.3,32980.8,2279.48,49485,32.64,8.06,130.7,-0.02,-0.48
11/19/24,02:26:11PM,MiniOcean,,,76.4,52842.2,3648.73,49514,32.63,8.12,124.9,-0.01,-0.43
11/20/24,01:32:32PM,R1,,,74.7,18720.6,1304.11,50368,33.97,7.89,139.5,-0.1,-0.61
11/20/24,01:34:02PM,R2,,,73.7,15407.9,1087.73,48948,33.31,7.87,150,-0.1,-0.66
11/20/24,02:37:35PM,MiniOcean,,,76.4,66080.7,4564.03,49407,32.53,8.13,127.8,-0.05,-0.45
11/21/24,02:28:43PM,MiniOcean,,,76.2,40391.5,2804.43,48494,31.95,7.94,200.4,0.44,0.08
11/21/24,02:37:40PM,R1,,,75.2,16134.6,1119.97,50264,33.66,7.85,150.6,-0.1,-0.6
11/21/24,02:39:27PM,R2,,,75.3,18083.8,1255.36,50170,33.58,7.93,148.4,-0.04,-0.53
11/21/24,04:12:21PM,R2,,,67.7,-2652.8,-242.14,12.5,0.01,7.81,99.7,-0.05,-0.54
11/21/24,04:13:16PM,R2,,,68.1,-6262.4,-471.65,44187,31.94,7.11,166,-0.1,-0.65
11/22/24,11:34:43AM,R1,,,75.5,18949.3,1307.97,51127,34.2,7.85,136.3,-0.09,-0.57
11/22/24,11:36:03AM,R2,,,75.3,17912.4,1245.75,49677,33.2,7.86,142.9,-0.07,-0.51
11/22/24,02:58:17PM,MiniOcean,,,77.7,44672.7,3047.89,50085,32.51,8.09,114,-0.05,-0.52
11/25/24,10:31:57AM,MiniOcean,,,75.7,53760.3,3747.78,48500,32.16,8.1,156,0.18,-0.14
11/25/24,10:37:30AM,R1,,,75.6,18804.5,1296.56,51254,34.26,7.88,173.1,-0.06,-0.53
11/25/24,10:39:01AM,R2,,,75.5,18054,1251.24,50152,33.46,7.9,174.5,-0.08,-0.63
11/25/24,02:33:55PM,MiniOcean,,,76.1,44924.2,3120.87,48590,32.06,8.14,195.4,-0.04,-0.49
11/26/24,10:10:49AM,R1,,,75.6,19513.7,1347.45,50861,33.96,7.85,211.2,-0.06,-0.53
11/26/24,10:15:12AM,R2,,,75.2,17560.8,1221.31,49765,33.28,7.9,210.9,-0.09,-0.65
11/26/24,02:40:29PM,MiniOcean,,,76.2,66499.6,4606.99,49112,32.42,8.15,172.8,0.02,-0.36
11/27/24,12:16:14PM,R1,,,75.3,20725,1438.2,50152,33.53,7.87,182.5,-0.1,-0.61
11/27/24,12:18:00PM,R2,,,75.3,16526.5,1149.46,49690,33.21,7.88,186.1,-0.1,-0.61
11/27/24,01:29:42PM,MiniOcean,,,76.1,45536.1,3155.1,49137,32.45,8.12,120.5,0.06,-0.26
11/27/24,01:44:42PM,MiniOcean,,,76.2,44736.1,3098.04,49167,32.45,8.12,131.3,0.14,-0.27
11/27/24,01:59:42PM,MiniOcean,,,76.2,43993.3,3047.13,49158,32.45,8.13,128.7,0.14,-0.33
11/27/24,02:14:42PM,MiniOcean,,,76.2,43182.9,2991.24,49152,32.45,8.13,125.9,0.13,-0.33
11/27/24,02:29:42PM,MiniOcean,,,76.1,42819.7,2966.47,49142,32.45,8.13,124,0.14,-0.28
11/27/24,02:44:42PM,MiniOcean,,,76.1,41886.5,2902.34,49134,32.45,8.13,124,0.07,-0.32
11/27/24,02:59:42PM,MiniOcean,,,76.1,40791,2827.64,49123,32.46,8.12,124.6,0.1,-0.26
11/27/24,03:14:42PM,MiniOcean,,,76.1,39751.6,2755.93,49107,32.45,8.12,125.1,0.18,-0.16
11/27/24,03:29:42PM,MiniOcean,,,76,38266.7,2653.86,49093,32.46,8.12,125.5,0.15,-0.24
11/27/24,03:44:42PM,MiniOcean,,,76,36409.5,2525.69,49075,32.45,8.12,126.2,0.12,-0.26
11/27/24,03:59:41PM,MiniOcean,,,76,34217.5,2374.04,49055,32.45,8.11,126.8,0.2,-0.09
11/27/24,04:14:41PM,MiniOcean,,,75.9,31942.9,2217.43,49036,32.46,8.11,128,0.16,-0.26
11/27/24,04:29:41PM,MiniOcean,,,75.9,29743.3,2065.5,49011,32.45,8.1,129.9,0.15,-0.24
11/27/24,04:44:41PM,MiniOcean,,,75.8,28070.9,1950.64,48989,32.47,8.1,131.9,0.16,-0.16
11/27/24,04:59:41PM,MiniOcean,,,75.8,25746.9,1789.44,48971,32.46,8.09,133.7,0.18,-0.03
11/27/24,05:14:41PM,MiniOcean,,,75.8,25119.9,1745.72,48980,32.46,8.09,134.7,0.2,-0.11
11/27/24,05:29:41PM,MiniOcean,,,75.8,23107.1,1605.32,48995,32.46,8.09,136.2,0.18,-0.06
11/27/24,05:44:41PM,MiniOcean,,,75.9,21805.8,1514.49,49001,32.45,8.08,136,0.19,-0.07
11/27/24,05:59:41PM,MiniOcean,,,75.9,20115.5,1397.08,49010,32.46,8.08,136.4,0.14,-0.03
11/27/24,06:14:41PM,MiniOcean,,,75.8,16331.1,1134.71,48997,32.47,8.07,141.3,0.21,-0.01
11/27/24,06:29:41PM,MiniOcean,,,75.8,12738.5,885.42,48968,32.46,8.06,143.7,0.36,0.34
11/27/24,06:44:41PM,MiniOcean,,,75.7,8331.5,579.43,48938,32.46,8.06,145.4,0.25,0.28
11/27/24,06:59:41PM,MiniOcean,,,75.7,3330.4,231.71,48916,32.46,8.05,146.7,0.21,0.16
11/27/24,07:14:41PM,MiniOcean,,,75.7,2829,196.75,48937,32.46,8.04,147.4,0.14,-0.16
11/27/24,07:29:41PM,MiniOcean,,,75.8,381.4,26.52,48945,32.45,8.04,148,0.09,-0.15
11/27/24,07:44:41PM,MiniOcean,,,75.8,-572.1,-39.77,48957,32.45,8.03,148.7,0.14,-0.08
11/27/24,07:59:41PM,MiniOcean,,,75.8,-1301.7,-90.46,48979,32.46,8.03,149.5,0.13,-0.01
11/27/24,08:14:41PM,MiniOcean,,,75.8,-2601.6,-180.76,48980,32.45,8.03,150.1,0.16,-0.11
11/27/24,08:29:41PM,MiniOcean,,,75.8,-3901.7,-271.12,48986,32.46,8.03,150.1,0.19,0.09
11/27/24,08:44:41PM,MiniOcean,,,75.8,-3552.3,-246.83,48984,32.46,8.02,149.3,0.08,-0.04
11/27/24,08:59:40PM,MiniOcean,,,75.8,-3730.7,-259.31,48966,32.46,8.02,149,0.09,-0.15
11/27/24,09:14:40PM,MiniOcean,,,75.8,-4750,-330.22,48958,32.46,8.02,146.7,0.12,-0.1
11/27/24,09:29:40PM,MiniOcean,,,75.8,-5625.1,-391.13,48943,32.46,8.02,144.8,0.71,0.29
11/27/24,09:44:40PM,MiniOcean,,,75.8,-5765.1,-400.87,48940,32.46,8.02,140.9,0.11,-0.05
11/27/24,09:59:40PM,MiniOcean,,,75.8,-5878,-408.72,48939,32.45,8.02,140.2,0.07,-0.09
11/27/24,10:14:40PM,MiniOcean,,,75.7,-5955.6,-414.19,48931,32.46,8.02,140.5,0.09,-0.07
11/27/24,10:29:40PM,MiniOcean,,,75.7,-5184.5,-360.55,48936,32.45,8.02,139.4,0.06,-0.06
11/27/24,10:44:40PM,MiniOcean,,,75.7,-6315.9,-439.28,48924,32.45,8.02,138.8,0.12,-0.13
11/27/24,10:59:40PM,MiniOcean,,,75.7,-5849.3,-406.82,48928,32.46,8.01,134,0.1,0.01
11/27/24,11:14:40PM,MiniOcean,,,75.7,-5978,-415.81,48922,32.45,8.02,134.4,0.13,-0.12
11/27/24,11:29:40PM,MiniOcean,,,75.7,-6827.2,-474.81,48934,32.46,8.02,131.9,0.14,-0.04
11/27/24,11:44:40PM,MiniOcean,,,75.7,-7318.3,-509.01,48923,32.45,8.01,129.7,0.08,-0.16
11/27/24,11:59:40PM,MiniOcean,,,75.7,-7517.4,-522.93,48919,32.45,8.01,128.3,0.2,0.18
11/28/24,00:14:40AM,MiniOcean,,,75.7,-6343.1,-441.17,48928,32.46,8.01,127.3,0.12,-0.12
11/28/24,00:29:40AM,MiniOcean,,,75.7,-8392.2,-583.82,48913,32.45,8.01,126.2,0.12,0.1
11/28/24,00:44:40AM,MiniOcean,,,75.7,-9729.7,-676.78,48921,32.46,8.01,120.8,0.11,-0.08
11/28/24,00:59:40AM,MiniOcean,,,75.7,-6584.2,-458.06,48913,32.45,8.01,121.5,0.03,-0.09
11/28/24,01:14:40AM,MiniOcean,,,75.7,-8883.7,-618.2,48906,32.46,8.01,120.7,0.11,-0.02
11/28/24,01:29:40AM,MiniOcean,,,75.7,-7283.4,-506.93,48889,32.45,8.01,119.6,0.14,-0.09
11/28/24,01:44:40AM,MiniOcean,,,75.6,-8415.3,-585.83,48879,32.46,8.01,120.2,0.08,-0.13
11/28/24,01:59:39AM,MiniOcean,,,75.6,-7254.7,-505.11,48871,32.46,8.01,119,0.04,0.54
11/28/24,02:14:39AM,MiniOcean,,,75.6,-7280.3,-506.98,48863,32.46,8,117.4,0.08,-0.03
11/28/24,02:29:39AM,MiniOcean,,,75.6,-7099.7,-494.38,48863,32.46,8.01,114.6,0.09,-0.11
11/28/24,02:44:39AM,MiniOcean,,,75.6,-7009.4,-488.17,48853,32.46,8.01,118.7,0.08,-0.05
11/28/24,02:59:39AM,MiniOcean,,,75.6,-7521,-523.78,48852,32.46,8,119.5,0.08,-0.15
11/28/24,03:14:39AM,MiniOcean,,,75.6,-7403.2,-515.65,48854,32.46,8.01,120,0.21,0.06
11/28/24,03:29:39AM,MiniOcean,,,75.6,-8881.7,-618.7,48844,32.46,8,116.1,0.11,-0.01
11/28/24,03:44:39AM,MiniOcean,,,75.6,-7368.4,-513.3,48843,32.46,8,118.7,0.1,-0.03
11/28/24,03:59:39AM,MiniOcean,,,75.6,-7746.1,-539.62,48836,32.46,8,115.1,0.11,-0.06
11/28/24,04:14:39AM,MiniOcean,,,75.6,-8280.3,-576.83,48835,32.45,8,114.5,0.1,0.04
11/28/24,04:29:39AM,MiniOcean,,,75.5,-7956.5,-554.44,48826,32.46,8,117.4,0.1,0.26
11/28/24,04:44:39AM,MiniOcean,,,75.5,-8588.5,-598.56,48823,32.46,8,107.3,0.13,0.2
11/28/24,04:59:39AM,MiniOcean,,,75.5,-8723.7,-607.81,48832,32.46,8,112.5,0.11,0.37
11/28/24,05:14:39AM,MiniOcean,,,75.4,-8335.7,-581.64,48765,32.47,8,113,0.06,0.12
11/28/24,05:29:39AM,MiniOcean,,,75.3,-7739.2,-540.63,48696,32.47,8,114.3,0.17,0.23
11/28/24,05:44:39AM,MiniOcean,,,75.2,-7812.9,-546.31,48645,32.47,8,121.1,0.19,0.02
11/28/24,05:59:39AM,MiniOcean,,,75.1,-7954.5,-556.56,48606,32.47,8,124,0.24,0.25
11/28/24,06:14:39AM,MiniOcean,,,75.2,-6563.7,-458.98,48630,32.46,8.01,109.8,0.1,0.02
11/28/24,06:29:39AM,MiniOcean,,,75.2,-4316.5,-301.75,48639,32.45,8.01,108,0.11,0.01
11/28/24,06:44:38AM,MiniOcean,,,75.2,-1906.9,-133.3,48647,32.46,8.01,109.4,0.28,0.39
11/28/24,06:59:38AM,MiniOcean,,,75.2,-62.8,-4.39,48644,32.47,8.02,112.2,0.23,0.21
11/28/24,07:14:38AM,MiniOcean,,,75.2,1875.6,131.12,48645,32.46,8.02,113.8,0.27,1.66
11/28/24,07:29:38AM,MiniOcean,,,75.2,3277.9,229.15,48645,32.46,8.02,114.2,0.72,0.95
11/28/24,07:44:38AM,MiniOcean,,,75.2,4863,340.1,48634,32.47,8.03,114.5,0.57,0.45
11/28/24,07:59:38AM,MiniOcean,,,75.2,7019.6,490.8,48634,32.46,8.03,115.1,0.54,1.1
11/28/24,08:14:38AM,MiniOcean,,,75.2,9878.8,690.84,48638,32.47,8.04,113.9,1.22,0.43
11/28/24,08:29:38AM,MiniOcean,,,75.2,14372.6,1004.43,48664,32.46,8.05,114.2,0.65,1.28
11/28/24,08:44:38AM,MiniOcean,,,75.3,19200.3,1341.28,48697,32.47,8.06,115.6,0.95,4.97
11/28/24,08:59:38AM,MiniOcean,,,75.4,23591.5,1646.67,48744,32.47,8.07,116.8,0.66,4.08
11/28/24,09:14:38AM,MiniOcean,,,75.5,28857.7,2011.99,48783,32.45,8.09,118.3,0.73,4.24
11/28/24,09:29:38AM,MiniOcean,,,75.6,34851.6,2427.38,48858,32.47,8.1,121.8,0.66,4.8
11/28/24,09:44:38AM,MiniOcean,,,75.8,42026.3,2921.9,48956,32.46,8.12,124.1,0.55,3.68
11/28/24,09:59:38AM,MiniOcean,,,76,48555.9,3369.43,49059,32.46,8.14,125.4,0.82,4.57
11/28/24,10:14:38AM,MiniOcean,,,76.1,54242.7,3757.93,49157,32.46,8.15,123.9,0.55,1.69
11/28/24,10:29:38AM,MiniOcean,,,76.4,59429.1,4108.82,49268,32.46,8.17,121.4,0.53,1.65
11/28/24,10:44:38AM,MiniOcean,,,76.5,64137.4,4428.09,49346,32.46,8.18,116.9,3.04,0.95
11/28/24,10:59:38AM,MiniOcean,,,76.7,67647.7,4663.09,49429,32.45,8.2,113.4,1.72,1.15
11/28/24,11:14:38AM,MiniOcean,,,76.8,70139.8,4828.94,49499,32.45,8.2,112.1,1.34,1.37
11/28/24,11:29:38AM,MiniOcean,,,76.9,70131.5,4824.2,49547,32.45,8.21,113.2,1.69,1.74
11/28/24,11:44:37AM,MiniOcean,,,77,72059,4952.2,49587,32.43,8.22,111.8,1.98,1.96
